"","IterYear","AgeInYears","cohortsize"
"10415",2037,8,8630065.53960986
"10416",2037,9,8668294.12304305
"10417",2037,10,8380741.56215512
"10418",2037,11,8259059.52463843
"10419",2037,12,8139200.52292577
"10420",2037,13,8023633.4144645
"10421",2037,14,8058571.0431651
"10422",2037,15,7792100.12446424
"10423",2037,16,7681220.8295863
"10424",2037,17,7573696.61251797
"10425",2037,18,7469788.66380738
"10426",2037,19,7370865.37224319
"10427",2037,20,7410718.42654878
"10428",2037,21,7171725.58333796
"10429",2037,22,7071456.02832729
"10430",2037,23,6967223.8121835
"10431",2037,24,6857517.04707786
"10432",2037,25,6872276.56918189
"10433",2037,26,6620052.78517833
"10434",2037,27,6493674.89704211
"10435",2037,28,6364300.03858298
"10436",2037,29,6233932.76390198
"10437",2037,30,6106677.07033925
"10438",2037,31,6091681.35217144
"10439",2037,32,5848538.41614056
"10440",2037,33,5721871.89673876
"10441",2037,34,5595090.63676428
"10442",2037,35,5468169.90893605
"10443",2037,36,5344133.35138507
"10444",2037,37,5317702.70852414
"10445",2037,38,5093295.39726666
"10446",2037,39,4972867.32694957
"10447",2037,40,4855906.71549734
"10448",2037,41,4745256.08517317
"10449",2037,42,4725181.02799696
"10450",2037,43,4532442.33004722
"10451",2037,44,4434292.94169341
"10452",2037,45,4340535.76369123
"10453",2037,46,4251011.47820937
"10454",2037,47,4167198.98451841
"10455",2037,48,4163084.17226669
"10456",2037,49,4005201.00378108
"10457",2037,50,3928562.57282357
"10458",2037,51,3853166.51018042
"10459",2037,52,3778165.17236704
"10460",2037,53,3774647.83811891
"10461",2037,54,3626690.22459657
"10462",2037,55,3549197.80585238
"10463",2037,56,3469892.97655794
"10464",2037,57,3388407.37962003
"10465",2037,58,3306421.11858761
"10466",2037,59,3282106.20803839
"10467",2037,60,3133180.86806499
"10468",2037,61,3046402.04305704
"10469",2037,62,2959700.81504147
"10470",2037,63,2873651.84056965
"10471",2037,64,2790596.94190336
"10472",2037,65,2759329.18688151
"10473",2037,66,2627796.99600004
"10474",2037,67,2553765.6817742
"10475",2037,68,2485337.8783428
"10476",2037,69,2423869.70558376
"10477",2037,70,2411648.30757788
"10478",2037,71,2313938.089523
"10479",2037,72,2266623.19658927
"10480",2037,73,2222654.49577699
"10481",2037,74,2180688.42014768
"10482",2037,75,2140336.53015139
"10483",2037,76,2139383.94848663
"10484",2037,77,2058139.89474874
"10485",2037,78,2017962.10732256
"10486",2037,79,1978377.36350464
"10487",2037,80,1939522.89229486
"10488",2037,81,1938540.12331775
"10489",2037,82,1865199.93530589
"10490",2037,83,1830102.58783369
"10491",2037,84,1796398.05336392
"10492",2037,85,1764124.75133361
"10493",2037,86,1594670.77544493
"10494",2037,87,1249318.65409414
"10495",2037,88,1248673.99310045
"10496",2037,89,1248024.80704917
"10497",2037,90,1247382.16033861
"10498",2037,91,1144364.31353815
"10499",2037,92,1000394.50884595
"10500",2037,93,999740.95588861
"10501",2037,94,999083.02775527
"10502",2037,95,998425.726553813
"10503",2037,96,940928.89439243
"10504",2037,97,860757.937144705
"10505",2037,98,860192.664628685
"10506",2037,99,859620.025767823
"10507",2037,100,859048.75101732
"10508",2037,101,811340.725075306
"10509",2037,102,744837.336473239
"10510",2037,103,744340.877697075
"10511",2037,104,743842.484388841
"10512",2037,105,743344.109301182
"10513",2037,106,702400.506466047
"10514",2037,107,645330.467691863
"10515",2037,108,644909.720697191
"10516",2037,109,644490.93953739
"10517",2037,110,644071.969076985
"10518",2037,111,608266.471294157
"10519",2037,112,558345.712275382
"10520",2037,113,557982.72876019
"10521",2037,114,557620.230505693
"10522",2037,115,557257.887627142
"10523",2037,116,523794.356813111
"10524",2037,117,477127.82109234
"10525",2037,118,476821.978492213
"10526",2037,119,476516.841954878
"10527",2037,120,9939238.03888285
"10528",2038,0,9513951.78546366
"10529",2038,1,9590489.85470445
"10530",2038,2,9476981.99213472
"10531",2038,3,9363096.38286083
"10532",2038,4,9420861.05704427
"10533",2038,5,9121396.48703382
"10534",2038,6,8999026.66947124
"10535",2038,7,8875638.81417114
"10536",2038,8,8751674.78591407
"10537",2038,9,8629899.05149765
"10538",2038,10,8668173.10468438
"10539",2038,11,8380668.45610701
"10540",2038,12,8258991.89249065
"10541",2038,13,8139138.50081589
"10542",2038,14,8023574.9376551
"10543",2038,15,8058513.4286174
"10544",2038,16,7792045.56159844
"10545",2038,17,7681167.99756061
"10546",2038,18,7573646.5322534
"10547",2038,19,7469741.57156505
"10548",2038,20,7370799.47936768
"10549",2038,21,7410643.78987035
"10550",2038,22,7171664.60745184
"10551",2038,23,7071401.84934279
"10552",2038,24,6967172.49480369
"10553",2038,25,6857467.43136024
"10554",2038,26,6872227.48184277
"10555",2038,27,6620006.0082293
"10556",2038,28,6493630.491925
"10557",2038,29,6364257.73714721
"10558",2038,30,6233891.46742353
"10559",2038,31,6106636.63801359
"10560",2038,32,6091641.03459139
"10561",2038,33,5848499.74268893
"10562",2038,34,5721834.14370077
"10563",2038,35,5595053.81525899
"10564",2038,36,5468133.96781332
"10565",2038,37,5344098.2387125
"10566",2038,38,5317667.79020744
"10567",2038,39,5093262.02226586
"10568",2038,40,4972809.2766613
"10569",2038,41,4855826.54327475
"10570",2038,42,4745177.74134799
"10571",2038,43,4725103.01825412
"10572",2038,44,4532367.50859873
"10573",2038,45,4434219.74327562
"10574",2038,46,4340464.11337781
"10575",2038,47,4250941.30637486
"10576",2038,48,4167130.198269
"10577",2038,49,4163015.45689895
"10578",2038,50,4005093.21576748
"10579",2038,51,3928419.42733157
"10580",2038,52,3853026.11201364
"10581",2038,53,3778027.50712884
"10582",2038,54,3774510.30112264
"10583",2038,55,3626520.24759227
