,run_id,region,rc,rd,ld,hd,lc,hc,foii,wh1,wh2,wh3,wh4,wl1,wl2,wl3,wl4,dd1,dd2,dr1,dr2,bd1,bd2,bd3,bd4,bd5,bd6,bd7,br,wv1,wv2,wv3,wv4,cfr1,cfr2,cfr3,cfr4,cfr5,cfr6,ve
11,11,hyper,0.167956615,0.742304769,0.785581349,0.950046059,0.22444671,0.82700956,8.00E-01,0.007212203,0.008475115,0.005322607,0.001766167,0.003626716,0.000855996,0.000964904,0.000265069,0.001936762,-1.00E-07,0.001856358,-9.45E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.135,0.093181818,0.09,0.082727273,0.073636364,0.119545455,0.91
12,12,hyper,0.206514685,0.771035655,0.927858103,0.918653442,0.176379077,0.841035364,8.00E-01,0.010838779,0.009875265,0.008695355,0.001100207,0.003758658,0.00060249,0.000982986,0.000301682,0.001938072,-1.01E-07,0.001902523,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.1,0.100909091,0.091818182,0.071818182,0.128484848,0.908
13,13,hyper,0.200733132,0.661909773,0.803444058,0.968178403,0.238800723,0.827785638,8.00E-01,0.011538453,0.008765381,0.002752793,0.001784795,0.003857786,0.000599329,0.000728941,0.000280075,0.001902378,-1.01E-07,0.001920538,-1.08E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.1,0.092045455,0.096363636,0.084545455,0.078181818,0.120757576,0.908
14,14,hyper,0.198266085,0.756136765,0.797530428,0.933743993,0.193660507,0.876056436,8.00E-01,0.019284476,0.008171898,0.006148239,0.00075298,0.003589735,0.000788243,0.000824663,0.000316714,0.00185102,-1.07E-07,0.001949902,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.095,0.088636364,0.086363636,0.086363636,0.072727273,0.124848485,0.894
15,15,hyper,0.210303018,0.661534482,0.893730537,0.977524483,0.159817201,0.855330763,8.00E-01,0.005550216,0.006314956,0.009118428,0.001615808,0.003291,0.000640209,0.000515756,0.000644438,0.001922247,-1.08E-07,0.001930388,-1.05E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.098863636,0.105454545,0.086363636,0.078181818,0.114545455,0.914
16,16,hyper,0.203109943,0.640332541,0.855015701,0.956176005,0.278814852,0.886616333,8.00E-01,0.01968139,0.005098032,0.007613501,0.001941159,0.002808173,0.000585466,0.000759883,0.000675129,0.001898902,-1.02E-07,0.00191863,-9.52E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.084090909,0.095454545,0.094545455,0.076363636,0.116969697,0.878
17,17,hyper,0.183778625,0.650699557,0.882953,0.9879,0.183861086,0.873293978,8.00E-01,0.018762488,0.005715646,0.008030216,0.001371037,0.003440079,0.000865856,0.000894498,0.000298409,0.001889355,-9.74E-08,0.001860972,-9.20E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.085,0.0875,0.07,0.088181818,0.083636364,0.121212121,0.89
18,18,hyper,0.215990231,0.751176535,0.899441889,0.974728885,0.197939313,0.848092681,8.00E-01,0.01508479,0.00884263,0.009426541,0.001501094,0.002280039,0.000885694,0.000532214,0.000496805,0.001887256,-1.05E-07,0.001888041,-9.33E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.13,0.098863636,0.086363636,0.085454545,0.081818182,0.117121212,0.884
19,19,hyper,0.202404831,0.645598775,0.853053879,0.941441417,0.200732475,0.782350829,8.00E-01,0.005786755,0.008979432,0.008591683,0.001961281,0.003893154,0.000846326,0.000759229,0.000137835,0.001877805,-1.08E-07,0.001908843,-9.43E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.11,0.0875,0.082727273,0.08,0.082727273,0.113939394,0.888
20,20,hyper,0.196119926,0.659987504,0.905042323,0.933875405,0.175868079,0.885144555,8.00E-01,0.016335978,0.009801996,0.007581556,0.00113146,0.003665928,0.000864709,0.000570044,0.000350732,0.001878291,-9.82E-08,0.001870789,-1.05E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.115,0.102272727,0.077272727,0.078181818,0.079090909,0.124545455,0.872
21,21,hyper,0.203949371,0.613529727,0.819140501,0.932525159,0.210171988,0.787642433,8.00E-01,0.008542565,0.006174869,0.005787247,0.001125087,0.003954855,0.000654205,0.000642018,0.000636515,0.001850462,-9.01E-08,0.00186344,-9.12E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.11,0.097727273,0.098181818,0.083636364,0.075454545,0.122424242,0.916
22,22,hyper,0.202987455,0.619959818,0.907014407,0.965406972,0.160483589,0.852494115,8.00E-01,0.007441196,0.004569227,0.003797261,0.001852816,0.003289932,0.000755283,0.000592781,0.000578106,0.001885759,-9.83E-08,0.001901562,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.12,0.094318182,0.084545455,0.083636364,0.085454545,0.117727273,0.894
23,23,hyper,0.208331757,0.696404402,0.805793736,0.925170644,0.171476941,0.711812578,8.00E-01,0.008128245,0.002974634,0.006306248,0.001884939,0.002367658,0.0009266,0.000656089,0.000166758,0.001927787,-9.68E-08,0.001869347,-1.06E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.155,0.109090909,0.085454545,0.097272727,0.070909091,0.123181818,0.896
24,24,hyper,0.209351491,0.674529012,0.836748321,0.98945467,0.254596969,0.752500757,8.00E-01,0.018605602,0.002594417,0.009527307,0.001665376,0.002421697,0.000916455,0.000824207,0.000173986,0.001899984,-9.92E-08,0.001901689,-9.10E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.095,0.075,0.086363636,0.097272727,0.078181818,0.125757576,0.9
25,25,hyper,0.208182875,0.760029969,0.932380905,0.915739321,0.262274908,0.892816363,8.00E-01,0.007878545,0.006665924,0.005754007,0.00108858,0.003619048,0.000959598,0.000942579,0.000684191,0.001893218,-1.07E-07,0.001855936,-1.02E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.09,0.111363636,0.076363636,0.095454545,0.081818182,0.121363636,0.916
26,26,hyper,0.209035945,0.685008667,0.928504212,0.933805687,0.17211944,0.863480485,8.00E-01,0.01702561,0.006464078,0.006540627,0.001605008,0.003432383,0.000977316,0.000502642,0.000482057,0.001943891,-9.90E-08,0.001906091,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.065,0.082954545,0.091818182,0.086363636,0.068181818,0.114090909,0.9
27,27,hyper,0.204567469,0.626571803,0.939547363,0.941250137,0.225666896,0.883020306,8.00E-01,0.015897766,0.004526076,0.00984151,0.000879529,0.003161309,0.00052087,0.000908922,0.000546388,0.001913354,-1.10E-07,0.00189337,-1.04E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.12,0.088636364,0.09,0.083636364,0.080909091,0.121969697,0.904
28,28,hyper,0.200072298,0.623882435,0.880546718,0.95218599,0.157565085,0.874148377,8.00E-01,0.007434886,0.009086425,0.00997961,0.000985795,0.003422658,0.000585083,0.000511515,0.000210707,0.001902186,-1.08E-07,0.001901884,-1.05E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.155,0.106818182,0.089090909,0.086363636,0.086363636,0.119393939,0.906
29,29,hyper,0.203929017,0.698785522,0.94633882,0.911941301,0.225450526,0.868375875,8.00E-01,0.016365447,0.008868622,0.007010149,0.001962568,0.00213437,0.000844552,0.000922696,0.000247449,0.001912196,-9.09E-08,0.001879053,-9.45E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.101136364,0.085454545,0.072727273,0.086363636,0.118939394,0.896
30,30,hyper,0.198410354,0.771052874,0.876969743,0.914702393,0.154770124,0.782717734,8.00E-01,0.009353629,0.002652636,0.002730608,0.001750366,0.003879421,0.000650293,0.000943474,0.000183167,0.00191381,-9.37E-08,0.00191865,-9.12E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.115,0.107954545,0.093636364,0.087272727,0.072727273,0.126666667,0.892
31,31,hyper,0.215291847,0.635806535,0.891763928,0.983097571,0.217722842,0.879304579,8.00E-01,0.008625268,0.007594314,0.008958394,0.001363292,0.002541739,0.000840173,0.000929092,0.000170665,0.001883315,-1.04E-07,0.001892818,-1.07E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.103409091,0.083636364,0.084545455,0.077272727,0.123484848,0.912
